version,label,representative_image_rel,representative_image_abs,image_count,geometry_count,spec_count,generator_file_count,remote_file_count
1,composed,visuals/hero_teaser_five_asset_transparent_20260512_v1/composed/hero_teaser_zoom_candidate_contact_sheet.png,/Users/fanta/code/agent/Code/recursive_3d_generative_growth/visuals/hero_teaser_five_asset_transparent_20260512_v1/composed/hero_teaser_zoom_candidate_contact_sheet.png,104,21,18,0,25
2,seam_aware_texturing_batch_v2_20260510_zoom_white_fast,visuals/seam_aware_texturing_batch_v2_20260510_zoom_white_fast/seam_aware_texturing_v2_contact_sheet_20260510.png,/Users/fanta/code/agent/Code/recursive_3d_generative_growth/visuals/seam_aware_texturing_batch_v2_20260510_zoom_white_fast/seam_aware_texturing_v2_contact_sheet_20260510.png,440,92,110,4,144
3,strict_visual_matched_texture_v3b_connected_zoom_20260510_flatwhite,visuals/strict_visual_matched_texture_v3b_connected_zoom_20260510_flatwhite/strict_visual_matched_texture_v3b_connected_contact_sheet_20260510.png,/Users/fanta/code/agent/Code/recursive_3d_generative_growth/visuals/strict_visual_matched_texture_v3b_connected_zoom_20260510_flatwhite/strict_visual_matched_texture_v3b_connected_contact_sheet_20260510.png,402,50,85,8,80
4,strict_visual_matched_texture_v4_zoom_20260510,visuals/strict_visual_matched_texture_v4_zoom_20260510/strict_visual_matched_texture_v4_contact_sheet_20260510.png,/Users/fanta/code/agent/Code/recursive_3d_generative_growth/visuals/strict_visual_matched_texture_v4_zoom_20260510/strict_visual_matched_texture_v4_contact_sheet_20260510.png,397,108,196,20,144
5,strict_visual_matched_texture_v5c_detail_seed20265110_zoom_20260510,visuals/strict_visual_matched_texture_v5c_detail_seed20265110_zoom_20260510/strict_visual_matched_texture_v5c_detail_seed20265110_contact_sheet_20260510.png,/Users/fanta/code/agent/Code/recursive_3d_generative_growth/visuals/strict_visual_matched_texture_v5c_detail_seed20265110_zoom_20260510/strict_visual_matched_texture_v5c_detail_seed20265110_contact_sheet_20260510.png,145,72,130,39,72
6,strict_visual_matched_texture_v6_connectivity_seed20261200_zoom_20260510,visuals/strict_visual_matched_texture_v6_connectivity_seed20261200_zoom_20260510/strict_visual_matched_texture_v6_connectivity_seed20261200_contact_sheet_20260510.png,/Users/fanta/code/agent/Code/recursive_3d_generative_growth/visuals/strict_visual_matched_texture_v6_connectivity_seed20261200_zoom_20260510/strict_visual_matched_texture_v6_connectivity_seed20261200_contact_sheet_20260510.png,292,99,183,18,165
7,strict_visual_matched_texture_v7_organic_dla_zoom_20260510,visuals/strict_visual_matched_texture_v7_organic_dla_zoom_20260510/strict_visual_matched_texture_v7_organic_dla_contact_sheet_20260510.png,/Users/fanta/code/agent/Code/recursive_3d_generative_growth/visuals/strict_visual_matched_texture_v7_organic_dla_zoom_20260510/strict_visual_matched_texture_v7_organic_dla_contact_sheet_20260510.png,140,56,105,13,120
8,strict_visual_matched_texture_v8_frontier_refine_zoom_20260510,visuals/strict_visual_matched_texture_v8_frontier_refine_zoom_20260510/strict_visual_matched_texture_v8_frontier_refine_contact_sheet_20260510.png,/Users/fanta/code/agent/Code/recursive_3d_generative_growth/visuals/strict_visual_matched_texture_v8_frontier_refine_zoom_20260510/strict_visual_matched_texture_v8_frontier_refine_contact_sheet_20260510.png,270,184,332,25,270
9,v9_dla_coral_antler_filigree_tips,visuals/strict_visual_matched_texture_v9_organic_frontier_zoom_20260510/v9_dla_coral_antler_filigree_tips/overview_raw.png,/Users/fanta/code/agent/Code/recursive_3d_generative_growth/visuals/strict_visual_matched_texture_v9_organic_frontier_zoom_20260510/v9_dla_coral_antler_filigree_tips/overview_raw.png,41,48,86,3,72
10,strict_visual_matched_texture_v10_readable_coral_frontier_zoom_20260510,visuals/strict_visual_matched_texture_v10_readable_coral_frontier_zoom_20260510/strict_visual_matched_texture_v10_readable_coral_frontier_contact_sheet_20260510.png,/Users/fanta/code/agent/Code/recursive_3d_generative_growth/visuals/strict_visual_matched_texture_v10_readable_coral_frontier_zoom_20260510/strict_visual_matched_texture_v10_readable_coral_frontier_contact_sheet_20260510.png,78,36,69,10,48
11,strict_visual_matched_texture_v11_clean_staghorn_zoom_20260510,visuals/strict_visual_matched_texture_v11_clean_staghorn_zoom_20260510/strict_visual_matched_texture_v11_clean_staghorn_contact_sheet_20260510.png,/Users/fanta/code/agent/Code/recursive_3d_generative_growth/visuals/strict_visual_matched_texture_v11_clean_staghorn_zoom_20260510/strict_visual_matched_texture_v11_clean_staghorn_contact_sheet_20260510.png,94,52,97,10,96
12,strict_visual_matched_texture_v12_tapered_staghorn_zoom_20260510,visuals/strict_visual_matched_texture_v12_tapered_staghorn_zoom_20260510/strict_visual_matched_texture_v12_tapered_staghorn_contact_sheet_20260510.png,/Users/fanta/code/agent/Code/recursive_3d_generative_growth/visuals/strict_visual_matched_texture_v12_tapered_staghorn_zoom_20260510/strict_visual_matched_texture_v12_tapered_staghorn_contact_sheet_20260510.png,66,36,69,10,48
13,strict_visual_matched_texture_v13_smooth_coral_crystal_zoom_20260510,visuals/strict_visual_matched_texture_v13_smooth_coral_crystal_zoom_20260510/strict_visual_matched_texture_v13_smooth_coral_crystal_contact_sheet_20260510.png,/Users/fanta/code/agent/Code/recursive_3d_generative_growth/visuals/strict_visual_matched_texture_v13_smooth_coral_crystal_zoom_20260510/strict_visual_matched_texture_v13_smooth_coral_crystal_contact_sheet_20260510.png,220,81,157,5,120
14,strict_visual_matched_texture_v14_branching_coral_zoom_20260510,visuals/strict_visual_matched_texture_v14_branching_coral_zoom_20260510/strict_visual_matched_texture_v14_branching_coral_contact_sheet_20260510.png,/Users/fanta/code/agent/Code/recursive_3d_generative_growth/visuals/strict_visual_matched_texture_v14_branching_coral_zoom_20260510/strict_visual_matched_texture_v14_branching_coral_contact_sheet_20260510.png,149,48,94,3,72
15,strict_visual_matched_texture_v15_plants_ifs_zoom_20260510,visuals/strict_visual_matched_texture_v15_plants_ifs_zoom_20260510/strict_visual_matched_texture_v15_plants_ifs_contact_sheet_20260510.png,/Users/fanta/code/agent/Code/recursive_3d_generative_growth/visuals/strict_visual_matched_texture_v15_plants_ifs_zoom_20260510/strict_visual_matched_texture_v15_plants_ifs_contact_sheet_20260510.png,167,72,134,3,108
16,strict_visual_matched_texture_v16_natural_coral_seed20280300_zoom_20260510,visuals/strict_visual_matched_texture_v16_natural_coral_seed20280300_zoom_20260510/strict_visual_matched_texture_v16_natural_coral_seed20280300_contact_sheet_20260510.png,/Users/fanta/code/agent/Code/recursive_3d_generative_growth/visuals/strict_visual_matched_texture_v16_natural_coral_seed20280300_zoom_20260510/strict_visual_matched_texture_v16_natural_coral_seed20280300_contact_sheet_20260510.png,143,32,66,3,48
17,strict_visual_matched_texture_v17_plants_roots_zoom_20260510,visuals/strict_visual_matched_texture_v17_plants_roots_zoom_20260510/strict_visual_matched_texture_v17_plants_roots_contact_sheet_20260510.png,/Users/fanta/code/agent/Code/recursive_3d_generative_growth/visuals/strict_visual_matched_texture_v17_plants_roots_zoom_20260510/strict_visual_matched_texture_v17_plants_roots_contact_sheet_20260510.png,66,42,87,13,54
18,strict_visual_matched_texture_v18_connectivity_naturalization_zoom_20260510,visuals/strict_visual_matched_texture_v18_connectivity_naturalization_zoom_20260510/strict_visual_matched_texture_v18_connectivity_naturalization_contact_sheet_20260510.png,/Users/fanta/code/agent/Code/recursive_3d_generative_growth/visuals/strict_visual_matched_texture_v18_connectivity_naturalization_zoom_20260510/strict_visual_matched_texture_v18_connectivity_naturalization_contact_sheet_20260510.png,90,56,105,15,96
19,strict_visual_matched_texture_V19_meshroot_botanical_zoom_20260510,visuals/strict_visual_matched_texture_V19_meshroot_botanical_zoom_20260510/strict_visual_matched_texture_V19_meshroot_botanical_contact_sheet_20260510.png,/Users/fanta/code/agent/Code/recursive_3d_generative_growth/visuals/strict_visual_matched_texture_V19_meshroot_botanical_zoom_20260510/strict_visual_matched_texture_V19_meshroot_botanical_contact_sheet_20260510.png,56,18,39,13,18
20,strict_visual_matched_texture_V20_paper_coral_crystal_zoom_20260510,visuals/strict_visual_matched_texture_V20_paper_coral_crystal_zoom_20260510/strict_visual_matched_texture_V20_paper_coral_crystal_contact_sheet_20260510.png,/Users/fanta/code/agent/Code/recursive_3d_generative_growth/visuals/strict_visual_matched_texture_V20_paper_coral_crystal_zoom_20260510/strict_visual_matched_texture_V20_paper_coral_crystal_contact_sheet_20260510.png,244,120,225,15,168
21,strict_visual_matched_texture_V21_ifs_transform_natural_seed20293700_zoom_20260510,visuals/strict_visual_matched_texture_V21_ifs_transform_natural_seed20293700_zoom_20260510/strict_visual_matched_texture_V21_ifs_transform_natural_seed20293700_contact_sheet_20260510.png,/Users/fanta/code/agent/Code/recursive_3d_generative_growth/visuals/strict_visual_matched_texture_V21_ifs_transform_natural_seed20293700_zoom_20260510/strict_visual_matched_texture_V21_ifs_transform_natural_seed20293700_contact_sheet_20260510.png,273,77,152,14,105
22,strict_visual_matched_texture_V22_botanical_smooth_zoom_20260510,visuals/strict_visual_matched_texture_V22_botanical_smooth_zoom_20260510/strict_visual_matched_texture_V22_botanical_smooth_contact_sheet_20260510.png,/Users/fanta/code/agent/Code/recursive_3d_generative_growth/visuals/strict_visual_matched_texture_V22_botanical_smooth_zoom_20260510/strict_visual_matched_texture_V22_botanical_smooth_contact_sheet_20260510.png,68,33,47,15,25
23,strict_visual_matched_texture_V23_all_family_seed3_stable_pool_zoom_render_target_20260510,visuals/strict_visual_matched_texture_V23_all_family_seed3_stable_pool_zoom_render_target_20260510/V23_seed3_stable_pool_contact_sheet_20260510.png,/Users/fanta/code/agent/Code/recursive_3d_generative_growth/visuals/strict_visual_matched_texture_V23_all_family_seed3_stable_pool_zoom_render_target_20260510/V23_seed3_stable_pool_contact_sheet_20260510.png,353,151,251,29,204
24,strict_visual_matched_texture_V24_priority_rerun_seed3_zoom_white_20260510,visuals/strict_visual_matched_texture_V24_priority_rerun_seed3_zoom_white_20260510/strict_visual_matched_texture_V24_priority_rerun_seed3_contact_sheet.png,/Users/fanta/code/agent/Code/recursive_3d_generative_growth/visuals/strict_visual_matched_texture_V24_priority_rerun_seed3_zoom_white_20260510/strict_visual_matched_texture_V24_priority_rerun_seed3_contact_sheet.png,108,119,191,22,140
25,strict_visual_matched_texture_V25_root_sc_refine_zoom_white_20260510,visuals/strict_visual_matched_texture_V25_root_sc_refine_zoom_white_20260510/V25_root_sc_refine_contact_sheet_20260510.png,/Users/fanta/code/agent/Code/recursive_3d_generative_growth/visuals/strict_visual_matched_texture_V25_root_sc_refine_zoom_white_20260510/V25_root_sc_refine_contact_sheet_20260510.png,1525,639,83,15,69
26,strict_visual_matched_texture_V26_sc_tree_seam_naturalization_zoom_white_render_target_20260511,visuals/strict_visual_matched_texture_V26_sc_tree_seam_naturalization_zoom_white_render_target_20260511/V26_sc_tree_seam_naturalization_render_target_contact_sheet_20260511.png,/Users/fanta/code/agent/Code/recursive_3d_generative_growth/visuals/strict_visual_matched_texture_V26_sc_tree_seam_naturalization_zoom_white_render_target_20260511/V26_sc_tree_seam_naturalization_render_target_contact_sheet_20260511.png,567,499,38,11,12
27,strict_visual_matched_texture_V27_sc_tree_organic_seam_zoom_white_seamtarget_20260511,visuals/strict_visual_matched_texture_V27_sc_tree_organic_seam_zoom_white_seamtarget_20260511/V27_glb_sc_tree_organic_seam_contact_sheet_20260511.png,/Users/fanta/code/agent/Code/recursive_3d_generative_growth/visuals/strict_visual_matched_texture_V27_sc_tree_organic_seam_zoom_white_seamtarget_20260511/V27_glb_sc_tree_organic_seam_contact_sheet_20260511.png,84,12,35,15,12
28,strict_visual_matched_texture_V28_sc_tree_flare_bark_naturalization_zoom_white_seamtarget_20260511,visuals/strict_visual_matched_texture_V28_sc_tree_flare_bark_naturalization_zoom_white_seamtarget_20260511/V28_glb_sc_tree_flare_bark_contact_sheet_20260511.png,/Users/fanta/code/agent/Code/recursive_3d_generative_growth/visuals/strict_visual_matched_texture_V28_sc_tree_flare_bark_naturalization_zoom_white_seamtarget_20260511/V28_glb_sc_tree_flare_bark_contact_sheet_20260511.png,63,16,40,21,12
29,strict_visual_matched_texture_V29_sc_tree_hidden_trunk_naturalization_zoom_white_seamtarget_20260511,visuals/strict_visual_matched_texture_V29_sc_tree_hidden_trunk_naturalization_zoom_white_seamtarget_20260511/V29_glb_sc_tree_hidden_trunk_contact_sheet_20260511.png,/Users/fanta/code/agent/Code/recursive_3d_generative_growth/visuals/strict_visual_matched_texture_V29_sc_tree_hidden_trunk_naturalization_zoom_white_seamtarget_20260511/V29_glb_sc_tree_hidden_trunk_contact_sheet_20260511.png,59,12,32,13,22
30,strict_visual_matched_texture_V30_sc_tree_occluded_hub_naturalization_zoom_white_seamtarget_20260511,visuals/strict_visual_matched_texture_V30_sc_tree_occluded_hub_naturalization_zoom_white_seamtarget_20260511/V30_glb_sc_tree_occluded_hub_contact_sheet_20260511.png,/Users/fanta/code/agent/Code/recursive_3d_generative_growth/visuals/strict_visual_matched_texture_V30_sc_tree_occluded_hub_naturalization_zoom_white_seamtarget_20260511/V30_glb_sc_tree_occluded_hub_contact_sheet_20260511.png,59,12,33,13,12
31,strict_visual_matched_cases_V31_sc_tree_compact_crown_obj_zoom_seamtarget_20260511,visuals/strict_visual_matched_cases_V31_sc_tree_compact_crown_obj_zoom_seamtarget_20260511/V31_sc_tree_compact_crown_obj_contact_sheet_20260511.png,/Users/fanta/code/agent/Code/recursive_3d_generative_growth/visuals/strict_visual_matched_cases_V31_sc_tree_compact_crown_obj_zoom_seamtarget_20260511/V31_sc_tree_compact_crown_obj_contact_sheet_20260511.png,18,4,13,13,0
32,strict_visual_matched_texture_V32_sc_tree_canopy_veil_naturalization_zoom_white_seamtarget_20260511,visuals/strict_visual_matched_texture_V32_sc_tree_canopy_veil_naturalization_zoom_white_seamtarget_20260511/V32_glb_sc_tree_canopy_veil_contact_sheet_20260511.png,/Users/fanta/code/agent/Code/recursive_3d_generative_growth/visuals/strict_visual_matched_texture_V32_sc_tree_canopy_veil_naturalization_zoom_white_seamtarget_20260511/V32_glb_sc_tree_canopy_veil_contact_sheet_20260511.png,77,16,44,13,12
33,strict_visual_matched_cases_V33_sc_tree_fused_veil_obj_zoom_seamtarget_20260511,visuals/strict_visual_matched_cases_V33_sc_tree_fused_veil_obj_zoom_seamtarget_20260511/V33_sc_tree_fused_veil_obj_contact_sheet_20260511.png,/Users/fanta/code/agent/Code/recursive_3d_generative_growth/visuals/strict_visual_matched_cases_V33_sc_tree_fused_veil_obj_zoom_seamtarget_20260511/V33_sc_tree_fused_veil_obj_contact_sheet_20260511.png,18,4,13,13,0
34,strict_visual_matched_cases_V34_lsystem_branch_obj_zoom_junctiontarget_20260511,visuals/strict_visual_matched_cases_V34_lsystem_branch_obj_zoom_junctiontarget_20260511/V34_lsystem_branch_obj_junctiontarget_contact_sheet_20260511.png,/Users/fanta/code/agent/Code/recursive_3d_generative_growth/visuals/strict_visual_matched_cases_V34_lsystem_branch_obj_zoom_junctiontarget_20260511/V34_lsystem_branch_obj_junctiontarget_contact_sheet_20260511.png,30,4,14,14,0
