case,method,source_count,depth_count,depth_min,depth_max,final_depth,final_occ_components_6n,max_occ_components_6n,final_lcr_occ_6n,min_lcr_occ_6n,final_root_component_ratio,final_orphan_mass_ratio,final_surface_fragmentation_score,max_orphan_mass_ratio,component_growth_per_depth,final_vertices,final_faces,final_tips,tips_delta,final_projection_survival_ratio,final_bridge_survival_ratio,same_seed_values,same_root_anchor_values,connectivity_curve_status
bismuth_hopper_depth,unknown,1,4,1,4,4,1,1,1.0,1.0,,,,,0.0,26938,54036,,,,,,,pass
porous_mineral_depth,unknown,1,4,1,4,4,1,1,1.0,1.0,,,,,0.0,43458,87232,,,,,,,pass
pyrite_lattice_depth,unknown,1,4,1,4,4,1,1,1.0,1.0,,,,,0.0,232568,482348,,,,,,,pass
root,glb,1,1,4,4,4,3,3,0.9930786753110216,0.9930786753110216,0.9930786753110216,0.006921324688978436,,0.006921324688978436,,711227,608554,94,0,,,,"29,21,0",fail
root,lsystem,1,4,1,4,4,1,1,1.0,1.0,1.0,0.0,,0.0,0.0,758,1524,27,26,1.0,,20260509,"0,0,0",pass
root,proposed_connected,1,4,1,4,4,1,1,1.0,1.0,1.0,0.0,,0.0,0.0,1044,2084,7,6,0.8577586206896551,,20260509,"0,0,0",pass
root,space_colonization,1,4,1,4,4,1,1,1.0,1.0,1.0,0.0,,0.0,0.0,15484,32244,118,30,1.0,,20260509,"0,0,0",pass
tree,lsystem,1,4,1,4,4,1,1,1.0,1.0,1.0,0.0,,0.0,0.0,798,1592,27,26,1.0,,20260509,"0,0,0",pass
tree,obj,1,2,3,4,4,8,11,0.9673022095509622,0.8793140178951854,0.9673022095509622,0.032697790449037756,,0.12068598210481463,-3.0,441435,872846,143,53,,,,"25,16,0;28,16,0;29,21,0",fail
tree,proposed_connected,1,4,1,4,4,1,1,1.0,1.0,1.0,0.0,,0.0,0.0,874,1744,9,8,0.8481012658227848,,20260509,"0,0,0",pass
tree,space_colonization,1,4,1,4,4,1,1,1.0,1.0,1.0,0.0,,0.0,0.0,17533,36576,143,49,1.0,,20260509,"0,0,0",pass
vine,glb,1,4,1,4,4,1,1,1.0,1.0,1.0,0.0,,0.0,0.0,623655,444214,58,-4,,,,"23,20,0;23,42,0;24,23,0;29,19,0",pass
vine,lsystem,1,4,1,4,4,1,1,1.0,1.0,1.0,0.0,,0.0,0.0,862,1720,4,3,1.0,,20260509,"0,0,0",pass
vine,proposed_connected,1,4,1,4,4,1,1,1.0,1.0,1.0,0.0,,0.0,0.0,1948,3892,6,5,0.9175515302935665,,20260509,"0,0,0",pass
vine,space_colonization,1,4,1,4,4,1,1,1.0,1.0,1.0,0.0,,0.0,0.0,14821,30804,124,42,1.0,,20260509,"0,0,0",pass
vine_d5_projected_compete,vine_depth_textured_showcase_20260509,1,4,1,4,4,1,1,1.0,1.0,,,0.9985200150724359,,0.0,623655,444214,,,,,,,pass
volumetric_coral_depth,coral_depth_textured_showcase_20260509,1,4,1,4,4,1,2,1.0,0.9998177510479315,,,0.9989343742814037,,-0.3333333333333333,178299,136964,,,,,,,fail
volumetric_coral_depth,unknown,1,4,1,4,4,1,1,1.0,1.0,,,,,0.0,68146,136964,,,,,,,pass
