source_table,source_rows,group_by,group_value,column,n,mean,median,min,max
results/baseline_matrix_20260509/metrics.csv,36,,,vertices,36,5265.305556,830.0,246.0,17533.0
results/baseline_matrix_20260509/metrics.csv,36,,,faces,36,10770.722222,1656.0,488.0,36576.0
results/baseline_matrix_20260509/metrics.csv,36,,,mesh_component_count,36,2.666667,1.0,1.0,24.0
results/baseline_matrix_20260509/metrics.csv,36,,,largest_occupancy_component_ratio_6n,36,1.0,1.0,1.0,1.0
results/baseline_matrix_20260509/metrics.csv,36,,,occupancy_component_count_6n,36,1.0,1.0,1.0,1.0
results/baseline_matrix_20260509/metrics.csv,36,method,lsystem,vertices,12,528.75,524.0,246.0,862.0
results/baseline_matrix_20260509/metrics.csv,36,method,lsystem,faces,12,1054.5,1044.0,488.0,1720.0
results/baseline_matrix_20260509/metrics.csv,36,method,lsystem,mesh_component_count,12,1.0,1.0,1.0,1.0
results/baseline_matrix_20260509/metrics.csv,36,method,lsystem,largest_occupancy_component_ratio_6n,12,1.0,1.0,1.0,1.0
results/baseline_matrix_20260509/metrics.csv,36,method,lsystem,occupancy_component_count_6n,12,1.0,1.0,1.0,1.0
results/baseline_matrix_20260509/metrics.csv,36,method,proposed_connected,vertices,12,829.666667,689.0,354.0,1948.0
results/baseline_matrix_20260509/metrics.csv,36,method,proposed_connected,faces,12,1655.333333,1374.0,704.0,3892.0
results/baseline_matrix_20260509/metrics.csv,36,method,proposed_connected,mesh_component_count,12,1.0,1.0,1.0,1.0
results/baseline_matrix_20260509/metrics.csv,36,method,proposed_connected,largest_occupancy_component_ratio_6n,12,1.0,1.0,1.0,1.0
results/baseline_matrix_20260509/metrics.csv,36,method,proposed_connected,occupancy_component_count_6n,12,1.0,1.0,1.0,1.0
results/baseline_matrix_20260509/metrics.csv,36,method,space_colonization,vertices,12,14437.5,14584.0,11251.0,17533.0
results/baseline_matrix_20260509/metrics.csv,36,method,space_colonization,faces,12,29602.333333,29936.0,23224.0,36576.0
results/baseline_matrix_20260509/metrics.csv,36,method,space_colonization,mesh_component_count,12,6.0,5.0,1.0,24.0
